biosample_term_id	biosample_term_name	biosample_label	biosample_type	organism_no	treatment_no	source_no	product_id	lot_id	subcellular_location
AMAD:96	10T1/2	10T1/2	cell line	mouse	missing	ATCC	CCL-226	missing	missing
AMAD:7035	3134	3134	cell line	mouse	missing	Dr. John Stamatoyannopoulos at UW	3134	missing	missing
AMAD:7043	416B	416B	cell line	mouse	missing	Dr. John Stamatoyannopoulos at UW	416B	missing	missing
AMAD:7069	A20	A20	cell line	mouse	missing	ATCC	TIB-208	missing	missing
BTO:0000018	A549	A549	cell line	human	missing	ATCC	CCL-185	58483235	missing
BTO:0001253	AG04449	AG04449	cell line	human	missing	Coriell	AG04449	missing	missing
BTO:0000763	AG04450	AG04450	cell line	human	missing	Coriell	AG04450	missing	missing
BTO:0001253	AG09309	AG09309	cell line	human	missing	Coriell	AG09309	missing	missing
BTO:0004138	AG09319	AG09319	cell line	human	missing	Coriell	AG09319	missing	missing
BTO:0001253	AG10803	AG10803	cell line	human	missing	Coriell	AG10803	missing	missing
AMAD:7097	Adrenal	ADRENAL	tissue	mouse	missing	CSHL lab	Adrenal	missing	missing
BTO:0000782	Adult_CD4_Th0	ADULTCD4TH0	tissue	human	missing	Dr. David Randolph at University of Alabama, Birmingham	Adult_CD4_Th0	missing	missing
BTO:0000782	Adult_CD4_Th1	ADULTCD4TH1	tissue	human	missing	Dr. David Randolph at University of Alabama, Birmingham	Adult_CD4_Th1	missing	missing
BTO:0000782	Adult_CD4_naive	ADULTCD4NAIVE	tissue	human	missing	Dr. David Randolph at University of Alabama, Birmingham	Adult_CD4_naive	missing	missing
BTO:0000135	AoAF	AOAF	primary cells	human	missing	Lonza	CC-7014, CC-7014T75	missing	missing
BTO:0001685	AoSMC	AOSMC	primary cells	human	missing	Lonza	CC-2571	missing	missing
BTO:0000099	Astrocy	ASTRO	primary cells	human	missing	Lonza	CC-2565	missing	missing
AMAD:7069	B-cell_(CD19+)	BCELLCD19P	tissue	mouse	missing	Dr. John Stamatoyannopoulos at UW	B-cell_(CD19+)	missing	missing
AMAD:7069	B-cell_(CD43-)	BCELLCD43N	tissue	mouse	missing	M. Bender (FHCRC)	B-cell_(CD43-)	missing	missing
AMAD:7188	BAT	BAT	tissue	mouse	missing	Dr. Jerrold M. Olefsky Lab at UCSD	missing	missing	missing
BTO:0001487	BC_Adipose_UHN00001	BCADIPOSE	tissue	human	missing	BioChain	D4234003_A701166	missing	missing
BTO:0000047	BC_Adrenal_Gland_H12803N	BCADRENAL	tissue	human	missing	BioChain	D1234004_B103117	missing	missing
BTO:0001418	BC_Bladder_01-11002	BCBLADDER	tissue	human	missing	BioChain	CP-S12-D1234010-05_B402059	missing	missing
BTO:0000142	BC_Brain_H11058N	BCBRAIN	tissue	human	missing	BioChain	D4234035_A810101	missing	missing
BTO:0000149	BC_Breast_02-03015	BCBREAST	tissue	human	missing	BioChain	D4234086_A710031	missing	missing
BTO:0000269	BC_Colon_01-11002	BCCOLON	tissue	human	missing	BioChain; BioChain	CP-S12-D1234090-05_A903056; CP-S10-R1234090-20_B402074	missing	missing
BTO:0000269	BC_Colon_H12817N	BCCOLONb	tissue	human	missing	BioChain; BioChain	CP-S13-D1234090-05_B111123; CP-S10-R1234090-20_B111053	missing	missing
